"Fieldname","Week","VI","a_coeff","b_coeff","R2","RMSE","NRMSE","MAE"
"DMD_GH1","23","NDVI","155.12769230212","1.32465787843842","0.155028085185624","25.6518274197605","11.4667770568556","19.2964149579169"
"DMD_GH1","24","NDVI","166.095679227674","1.04779585442091","0.0882492470660198","25.9419932072979","11.5964858039469","19.4470945825896"
"DMD_GH1","26","NDVI","185.169789784597","0.619724181511644","0.147194288513059","22.051139307115","9.85721189163974","16.5356621492977"
"DMD_GH1","27","NDVI","204.457934268094","0.275930317815025","0.133938880728105","20.2054787261013","9.03217209783516","15.3132517080538"
"DMD_GH1","28","NDVI","190.222887208939","0.306160591171585","0.124314060012972","19.4403085823105","8.69012880766969","14.6865908102082"
"DMD_GH1","29","NDVI","142.762810101235","0.613723890325471","0.147954015075171","18.8776086613738","8.43859294483597","14.0701693718087"
"DMD_GH1","30","NDVI","55.2606334509922","1.65491990855223","0.0916691683310576","20.3507955801677","9.09713105537513","15.2724108909549"
"DMD_GH1","31","NDVI","22.4260552960116","2.63163763953693","0.0977360911213843","20.3018550766054","9.07525386767166","15.2586081491428"
"DMD_GH1","32","NDVI","29.5996672796719","2.36207129420589","0.0520115364832006","22.1710038260291","9.91079324835654","16.9244163358761"
"DMD_GH1","35","NDVI","17.5064851324008","2.94364595105606","0.170549518656029","20.7310733695421","9.26712130827504","15.827700982705"
"DMD_GH1","38","NDVI","43.4564271490229","1.98395952406053","0.116749326593254","23.584892873269","10.5428242620745","18.1446986300427"
"DMD_GH1","23","GNDVI","145.90180579701","1.24916015695554","0.150266574151872","24.198585473778","10.8171546681047","18.2231355760189"
"DMD_GH1","24","GNDVI","157.180479103613","1.03928258893524","0.100426653632045","24.8200351179409","11.0949525966916","18.6721838535929"
"DMD_GH1","26","GNDVI","173.9692823911","0.685518880895076","0.143937720911699","21.8647012155478","9.77387108336426","16.3716264256948"
"DMD_GH1","27","GNDVI","196.764080921518","0.330460713758229","0.134940957216434","20.0288707251019","8.95322549723711","15.1850958974885"
"DMD_GH1","28","GNDVI","183.868094641032","0.356335008530627","0.121007470324234","19.4219408098469","8.68191811965808","14.6697139503528"
"DMD_GH1","29","GNDVI","138.878520807113","0.662064701500587","0.139601565619236","18.9064226232446","8.45147324655835","14.0955785944903"
"DMD_GH1","30","GNDVI","73.4744496402097","1.36332915821019","0.0899351543643596","20.0310324672051","8.95419183052584","15.1141540544718"
"DMD_GH1","31","GNDVI","40.11960496258","2.02325487182079","0.100104904302955","20.3009932126327","9.07486860069371","15.3347486761344"
"DMD_GH1","32","GNDVI","32.7514058289536","2.27527309263491","0.0608100130474649","22.1331857676693","9.89388797151842","16.8543936211893"
"DMD_GH1","35","GNDVI","27.5945115889321","2.48105569703412","0.148784245545324","21.0625010323576","9.41527477343724","16.1234708120174"
"DMD_GH1","38","GNDVI","56.2892804951654","1.79240089957262","0.155857635347114","23.2986247833964","10.4148578481678","17.8628891848516"
"DMD_GH1","23","EVI2","163.641895664947","0.637106441785155","0.155949869730866","25.086213562001","11.2139386176651","18.8782663046004"
"DMD_GH1","24","EVI2","171.47521458813","0.527481829229173","0.0979342012264003","25.5632343839923","11.4271745531697","19.1824368664104"
"DMD_GH1","26","EVI2","191.106960080953","0.291845653353931","0.146149658096102","21.9850304566922","9.82766017834936","16.4773550024633"
"DMD_GH1","27","EVI2","208.571492183864","0.123192399945721","0.133586810716829","20.2956050313624","9.07245999750312","15.3813424550263"
"DMD_GH1","28","EVI2","198.254242601883","0.120751134088702","0.124955843857183","19.5639558343869","8.74540110659998","14.7938062447134"
"DMD_GH1","29","EVI2","163.427988118548","0.208462736997227","0.147532317335105","18.821558901059","8.41353780567947","14.0335636629156"
"DMD_GH1","30","EVI2","97.8558491129634","0.450800950728461","0.10646305086362","19.694075853363","8.80356683584089","14.8836617722771"
